event_at,event_type,symbol,action,contract,strike,expiry,qty,premium,delta,iv,dte,cash_before,equity_before,filter_earnings,filter_ma_trend,filter_vol,filter_iv_rank,market_vix,market_spy_above_200ma,skip_reason,pnl,exit_reason,notes
2026-05-29T17:25:21.779623,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.08,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T17:32:58.578230,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.12,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T17:41:09.643085,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.09,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T17:49:03.264524,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.12,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T17:57:18.893178,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.14,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T18:01:49.897687,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.17,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T18:09:18.646440,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.16,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T18:17:15.551257,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.08,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T18:25:13.325140,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.10,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T18:33:19.675224,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.10,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T18:41:16.637945,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.06,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T18:49:01.970108,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.15,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T18:57:04.353538,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.19,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T19:01:50.718949,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.20,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T19:09:06.536727,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.91,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T19:17:27.244358,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.12,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T19:25:31.637659,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.11,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T19:33:00.062670,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.14,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T19:41:19.150826,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.10,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T19:49:08.800224,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.09,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-05-29T19:57:05.348642,skip,AVGO,sell_put,,,,,,,,,102431.06,102431.06,,,,,VIXY=23.21,1,[earnings] 财报日 2026-06-03 在 5d 窗口内,,,filter=earnings
2026-06-01T13:37:20.567720,entry,GM,sell_put,GM260605P00078000,78.0,2026-06-05,6,0.26,-0.1266,,4,102431.03,102431.03,PASS,PASS,PASS,,VIXY=23.40,1,,,,size=6
2026-06-01T13:42:09.758734,skip,MSFT,sell_put,,,,,,,,,102431.03,102431.03,,,,,VIXY=23.32,1,insufficient_funds,,,
2026-06-01T13:49:48.749119,skip,MSFT,sell_put,,,,,,,,,102431.03,102431.03,,,,,VIXY=23.35,1,insufficient_funds,,,
2026-06-01T13:57:51.038749,skip,NFLX,sell_put,,,,,,,,,102431.03,102431.03,,,,,VIXY=23.45,1,[ma_trend] 股价 $87.14 < MA50 $92.95（下跌趋势）,,,filter=ma_trend
2026-06-01T14:02:31.667917,skip,NFLX,sell_put,,,,,,,,,102431.03,102431.03,,,,,VIXY=23.37,1,[ma_trend] 股价 $86.94 < MA50 $92.94（下跌趋势）,,,filter=ma_trend
2026-06-01T14:09:54.888319,skip,MSFT,sell_put,,,,,,,,,102431.03,102431.03,,,,,VIXY=23.30,1,insufficient_funds,,,
2026-06-01T14:17:57.309933,skip,NFLX,sell_put,,,,,,,,,102431.03,102431.03,,,,,VIXY=23.31,1,[ma_trend] 股价 $86.20 < MA50 $92.93（下跌趋势）,,,filter=ma_trend
